S  | Repository                     | Name                              | Version                             | Arch
i+ | Main Repository (OSS)          | patterns-yast-x11_yast            | 20220411-1.9                        | x86_64
i+ | Main Repository (OSS)          | patterns-yast-yast2_basis         | 20220411-1.9                        | x86_64
i+ | Main Repository (OSS)          | picom                             | 12.5-1.4                            | x86_64
i+ | Main Repository (OSS)          | pipewire-jack                     | 1.4.4-1.1                           | x86_64
i+ | Main Repository (OSS)          | pipewire-lang                     | 1.4.4-1.1                           | noarch
i+ | Main Repository (OSS)          | playerctl                         | 2.4.1-1.14                          | x86_64
i+ | @System                        | pritunl-client-electron           | 1.3.4210.52-1.fc41                  | x86_64
i+ | Main Repository (OSS)          | python313-pipx                    | 1.7.1-1.5                           | noarch
i+ | Main Repository (OSS)          | qemu                              | 10.0.0-3.1                          | x86_64
i+ | Main Repository (OSS)          | rofi                              | 1.7.9-1.1                           | x86_64
i+ | Main Repository (OSS)          | rofi-bluetooth                    | 0~git20230203.9d91c04-1.5           | noarch
i+ | Main Repository (OSS)          | rofi-calc                         | 2.3.0-1.2                           | x86_64
i+ | Main Repository (OSS)          | rpm                               | 4.20.1-4.1                          | x86_64
i+ | Main Repository (OSS)          | scrot                             | 1.11.1-1.3                          | x86_64
i+ | Main Repository (OSS)          | shim                              | 15.8-4.1                            | x86_64
i+ | Main Repository (OSS)          | snapper                           | 0.12.2-2.2                          | x86_64
i+ | Main Repository (OSS)          | systemd-zram-service              | 0.2.1-5.3                           | noarch
i+ | Main Repository (OSS)          | tcpdump                           | 4.99.5-2.2                          | x86_64
i+ | Main Repository (OSS)          | wezterm                           | 20240203.110809.5046fc22+git421-2.2 | x86_64
i+ | Main Repository (OSS)          | xdg-desktop-portal-devel          | 1.20.3-1.1                          | x86_64
i+ | Main Repository (OSS)          | xdg-desktop-portal-gnome          | 48.0-2.1                            | x86_64
i+ | Main Repository (OSS)          | xorg-x11                          | 7.6_1-17.1                          | noarch
i+ | Main Repository (OSS)          | xsettingsd                        | 1.0.2-1.12                          | x86_64
